pizza_chain,Pizza,Temp,Type,Averages,Elaine,Ethan,Katie_M,Keira,Jenna,Matt_G,Miranda,Rachel,Roberto,Tyler,Chris,Jo,Keira,Matt_B,Sara,Sean
Digiorno,A,107.6,pepperoni,2.222222222,1,3,3,2,1,2,3,3,2,1,,,,,,
Pizza Hut,B,106.5,pepperoni,2.222222222,3,2,3,1,2,3,2,2,2,1,,,,,,
Domino's,C,109,pepperoni,2.111111111,3,2,2,1,2,2,3,2,2,3,,,,,,
Pizza Boli's,D,115.2,pepperoni,3.111111111,3,3,3,4,4,2,4,3,2,1,,,,,,
Papa John's,E,126,pepperoni,2.111111111,1,2,2,4,1,2,2,3,2,1,,,,,,
Little Ceasar's,F,148.3,pepperoni,2,1,2,3,3,2,1,3,2,1,2,,,,,,
Papa John's,A,119,cheese,3.222222222,,,,,,2,,4,1,,5,3,5,2,3,4
Pizza Boli's,B,117.9,cheese,3,,,,,,2,,2,3,,3,3,5,3,2,4
Digiorno,C,112.6,cheese,2.333333333,,,,,,2,,2,2,,3,2,2,3,3,2
Little Ceasar's,D,139,cheese,2.555555556,,,,,,1,,3,3,,3,2,2,2,2,5
Domino's,E,123.6,cheese,2.555555556,,,,,,2,,3,3,,2,3,3,2,2,3
Pizza Hut,F,114,cheese,2.444444444,,,,,,3,,2,1,,2,4,3,4,2,1
Stuffed Crust Pizza Hut,G,110,cheese,2.666666667,,,,,,3,,2,3,,3,3,2,4,1,3
